key,model,rule,y_cum20,y_peak,y_trough,y_std,y_tpeak,y_ttrough,piq_cum20,piq_peak,piq_trough,piq_std,piq_tpeak,piq_ttrough,irate_cum20,irate_peak,irate_trough,irate_std,irate_tpeak,irate_ttrough,rrate_cum20,rrate_peak,rrate_trough,rrate_std,rrate_tpeak,rrate_ttrough,cluster_raw,k_selected,silhouette
US_BKM12||Taylor,US_BKM12,Taylor,0.16285191244605812,0.08728842437267303,-1.1699999959091656e-05,0.01968669653853151,0,20,0.0025982669985751272,0.00035096699139103293,-2.429999949526973e-05,0.00012972054643510956,2,20,-0.9146279137294187,0.019009625539183617,-0.9562563300132751,0.2041312618958089,1,0,-0.9169339241843772,0.018658658489584923,-0.9566032290458679,0.20418239635110477,1,0,1,2,0.3978362051613031
US_CCF12||Growth,US_CCF12,Growth,12.374739274382591,0.7046623229980469,0.16298483312129974,0.14791792286051622,20,0,6.00709430873394,0.3718971014022827,0.19192838668823242,0.057750620502605134,0,20,4.902811232954264,0.4713920056819916,-0.9447615146636963,0.3791575431307945,10,0,-0.9160303473472595,0.20836789906024933,-1.3134651184082031,0.4209379824385265,13,0,1,2,0.3978362051613031
US_CCF12||Inertial_Taylor,US_CCF12,Inertial_Taylor,2.90773918479681,0.16193056106567383,0.059275418519973755,0.023061652543840083,6,0,-1.7143765054643154,-0.039677321910858154,-0.11136217415332794,0.023670005664126335,0,20,-4.600305877625942,-0.06869976967573166,-0.996310293674469,0.2484556112042091,13,0,-2.8131219297647476,0.03283270448446274,-0.9542009234428406,0.2680195566530093,14,0,1,2,0.3978362051613031
US_CCTW10||Growth,US_CCTW10,Growth,2.5487023452296853,0.29990699887275696,-0.0013150109443813562,0.105243123301439,2,20,1.2165274584840517,0.14573164284229279,-0.0035061570815742016,0.051787952225078364,1,20,-2.157950669003185,0.03701116889715195,-0.9658219218254089,0.25881820743048606,9,0,-3.247137218946591,0.01001807115972042,-1.1115535497665405,0.30011569709227504,13,0,1,2,0.3978362051613031
US_CCTW10||Inertial_Taylor,US_CCTW10,Inertial_Taylor,1.4953533767256886,0.2407764494419098,-0.008186670020222664,0.08954224347978136,2,16,0.4699044806766324,0.07475470751523972,-0.003148020012304187,0.027272164895750673,1,20,-2.532416317379102,0.031341634690761566,-0.9744575023651123,0.26461218865738473,10,0,-2.9350417780224234,0.026338981464505196,-1.0492122173309326,0.28809990189501905,11,0,1,2,0.3978362051613031
US_CCTW10||Taylor,US_CCTW10,Taylor,0.10965574519286747,0.03614968806505203,-0.00017663699691183865,0.009482655640940002,0,16,0.022994191056568525,0.00380956893786788,-8.070000330917537e-05,0.0012859917424984059,1,20,-0.9105208829641924,0.015255614183843136,-0.9805752635002136,0.2096165288685484,1,0,-0.9298254156565235,0.011919635348021984,-0.9843848347663879,0.2102438838190384,1,0,1,2,0.3978362051613031
US_CD08||Growth,US_CD08,Growth,3.6424951031804085,0.7741189002990723,0.11810217052698135,0.14781180975787223,0,7,2.101524536497891,0.9893465042114258,0.009340745396912098,0.22077038471991098,0,20,-0.6791596412658691,0.07552643120288849,-0.8104838728904724,0.202671899055661,3,0,-1.8000017311424017,0.025637997314333916,-1.2519210577011108,0.29734566173857213,8,0,1,2,0.3978362051613031
US_CD08||Inertial_Taylor,US_CD08,Inertial_Taylor,2.930881403386593,0.6566365957260132,0.08834052830934525,0.1271171720646827,0,5,-0.5185520797967911,0.6984416246414185,-0.08958528935909271,0.1759836578981318,0,20,-2.871837295591831,-0.04798408970236778,-0.8524415493011475,0.18973796195816403,5,0,-1.5650870725512505,0.02861374244093895,-1.0833885669708252,0.25779353878309047,5,0,1,2,0.3978362051613031
US_CD08||Taylor,US_CD08,Taylor,0.7372230023611337,0.23311185836791992,-0.003053976921364665,0.04492965194698318,0,1,-0.3160063251852989,0.12463119626045227,-0.04348888248205185,0.03178054563465063,0,1,-1.0496334005147219,0.02890137955546379,-0.836707353591919,0.1766258314616981,1,0,-0.5838323514908552,0.05304345116019249,-0.7932184934616089,0.17173806386915266,1,0,1,2,0.3978362051613031
US_CET15||Growth,US_CET15,Growth,0.029643020301555904,0.00269496301189065,-3.569999927188067e-14,0.0008106482127912038,4,0,0.579308504351716,0.07256880402565002,-0.0010893689468502998,0.027029607171888986,2,20,-3.1502665379084647,0.021188920363783836,-1.0,0.28007597339808027,13,0,-3.728157287463546,0.015980079770088196,-1.0659019947052002,0.30277058960884445,14,0,1,2,0.3978362051613031
US_CET15||Inertial_Taylor,US_CET15,Inertial_Taylor,0.02952349913540935,0.002688694978132844,1.5699999622847266e-14,0.0008094959782348701,4,0,0.559438630240442,0.07091152667999268,-0.0015678199706599116,0.026599195079714543,2,20,-3.164005187805742,0.02067241631448269,-1.0,0.27995671790613524,13,0,-3.7215681932866573,0.01613568887114525,-1.064185380935669,0.30230457306942704,14,0,1,2,0.3978362051613031
US_CET15||Taylor,US_CET15,Taylor,0.016345602009114283,0.0019178909715265036,1.8099999716256546e-14,0.0006595682498707952,4,0,0.13924361468463303,0.020354285836219788,-0.0006882969755679369,0.007580850801251673,4,19,-3.138447325443849,0.02890724129974842,-1.0,0.2835135488090289,12,0,-3.2771144108846784,0.02753298543393612,-1.0033270120620728,0.28737478650756637,12,0,1,2,0.3978362051613031
US_CFOP14||Growth,US_CFOP14,Growth,1.2421040865592659,0.13817623257637024,0.006721540819853544,0.04533212742233301,2,20,0.5049488997319713,0.07872210443019867,0.0004237529938109219,0.026224091631432227,1,20,-3.213844256941229,-0.003952058032155037,-0.9823963046073914,0.25872126666689726,20,0,-3.645069277845323,-0.004175391048192978,-1.0611183643341064,0.2817244149772626,20,0,1,2,0.3978362051613031
US_CFOP14||Inertial_Taylor,US_CFOP14,Inertial_Taylor,0.7950399688834295,0.11755236238241196,-0.00012428799527697265,0.041911442457924046,2,20,0.2373144721164664,0.05004514008760452,-0.0005877609946765006,0.017104197294888154,1,14,-3.2434173988876864,-0.0009178320178762078,-0.9858381152153015,0.2642805473512344,20,0,-3.4321909596328624,-0.0008625320042483509,-1.0358833074569702,0.2792167649987783,20,0,1,2,0.3978362051613031
US_CFOP14||Taylor,US_CFOP14,Taylor,-0.11297392392589245,0.0047136470675468445,-0.014441096223890781,0.005510471987777557,0,4,0.0266028888290748,0.0024026199243962765,-0.0012010029749944806,0.0011790419929283294,11,1,-1.0198261805635411,0.0028247430454939604,-0.9978865385055542,0.2123130755120329,16,0,-1.0483015613863245,0.0012540139723569155,-0.9966855645179749,0.21173350735604687,19,0,1,2,0.3978362051613031
US_CFP17exo||Growth,US_CFP17exo,Growth,5.68732576072216,0.39248254895210266,0.18961593508720398,0.05863695703085936,2,20,0.5820921012200415,0.2062987983226776,-0.025016294792294502,0.0771380772076057,1,16,-2.5230206856431323,0.013561053201556206,-0.9501672983169556,0.23719467209947503,7,0,-2.9129254897125065,0.023116853088140488,-1.1564661264419556,0.3036684447680768,8,0,1,2,0.3978362051613031
US_CFP17exo||Inertial_Taylor,US_CFP17exo,Inertial_Taylor,1.9379374869167805,0.26616761088371277,0.009458874352276325,0.08273301145329208,1,20,-0.08364953100681305,0.10618431866168976,-0.04447552189230919,0.04421524247747477,1,8,-3.0874314587563276,-0.017119038850069046,-0.9656940698623657,0.24467173137368772,20,0,-2.9053625660017133,0.009640350937843323,-1.071878433227539,0.2808957137803244,8,0,1,2,0.3978362051613031
US_CFP17exo||Taylor,US_CFP17exo,Taylor,0.11059734384616604,0.036468178033828735,-0.00034688200685195625,0.008703549454329544,0,20,-0.008434230112470686,0.008105604909360409,-0.002779698930680752,0.0026876660895110353,0,6,-0.9570251043187454,0.016217242926359177,-0.978726327419281,0.20872613242169313,1,0,-0.9405121609452181,0.013932712376117706,-0.9846537113189697,0.21021846009729855,1,0,1,2,0.3978362051613031
US_CMR10||Growth,US_CMR10,Growth,2.0855340138077736,0.1991465836763382,0.05364055931568146,0.04623160325534793,2,20,0.9773221729192301,0.19596198201179504,-0.002583456924185157,0.06900149889836632,1,20,-2.3999634521314874,0.01671687513589859,-0.9690281748771667,0.2551478382734407,8,0,-3.232435962825548,0.01336110383272171,-1.1649901866912842,0.317977998176906,9,0,1,2,0.3978362051613031
US_CMR10||Inertial_Taylor,US_CMR10,Inertial_Taylor,1.5712616294622421,0.1713564395904541,0.03499837964773178,0.04368175129187545,1,20,-0.005195369012653828,0.12434808909893036,-0.039609555155038834,0.05389218343123457,1,9,-3.0846084598451853,-0.018856188282370567,-0.9755805730819702,0.25112083608247393,9,0,-2.95859114266932,0.020483406260609627,-1.099928617477417,0.2997435966027971,9,0,1,2,0.3978362051613031
US_CMR10||Taylor,US_CMR10,Taylor,0.2609221749007702,0.024906795471906662,0.00978099089115858,0.0035955926577948207,0,5,-0.10886927414685488,0.005595490802079439,-0.00860869325697422,0.004513535692294218,0,16,-1.0139005239470862,0.013374573551118374,-0.9854483008384705,0.20966571798563538,1,0,-0.8912347313016653,0.011697511188685894,-0.9877622127532959,0.2114119374691443,3,0,1,2,0.3978362051613031
US_CMR14||Growth,US_CMR14,Growth,6.067374154925346,0.3254418671131134,0.15915164351463318,0.03612082508308526,5,0,1.285022554686293,0.18750576674938202,-0.005692499224096537,0.06448978062844064,1,20,-1.5349762747064233,0.08693348616361618,-0.9636099338531494,0.267982042819726,9,0,-2.636778039857745,0.055050887167453766,-1.1511156558990479,0.32042873698606517,10,0,1,2,0.3978362051613031
US_CMR14||Inertial_Taylor,US_CMR14,Inertial_Taylor,3.6070367842912674,0.22589705884456635,0.12128151208162308,0.03351291761204294,3,0,-1.5132798936683685,0.01989334635436535,-0.10280878096818924,0.03977714842974857,0,13,-4.027527846395969,-0.05741947889328003,-0.9829748272895813,0.2427514038974722,10,0,-2.4067860320210457,0.044526293873786926,-0.9966458082199097,0.2760370857547079,11,0,1,2,0.3978362051613031
US_CPS10||Growth,US_CPS10,Growth,3.2270335648208857,0.41456180810928345,0.017694683745503426,0.13020162576240676,1,20,0.5680240092333406,0.09289857745170593,0.002783985109999776,0.026137673209794578,0,20,-3.083322424441576,-0.008258214220404625,-0.9498330354690552,0.2352647989405736,20,0,-3.5607827799394727,-0.01059307437390089,-1.0291662216186523,0.2558780310570473,20,0,1,2,0.3978362051613031
US_CPS10||Inertial_Taylor,US_CPS10,Inertial_Taylor,1.6144121969264233,0.31890058517456055,0.00012362799316179007,0.10546683506642399,1,20,0.16421203124309613,0.04764373227953911,6.4000000747910235e-06,0.013094446624472835,0,20,-2.94625967086904,-7.94000006862916e-05,-0.9620690941810608,0.2523517751665343,20,0,-3.0628318082526675,-8.320000051753595e-05,-0.9983755946159363,0.2620274489700823,20,0,1,2,0.3978362051613031
US_CPS10||Taylor,US_CPS10,Taylor,0.10052636765071732,0.05250880867242813,1.9799999861902506e-08,0.012140054140322314,0,20,0.005052551532490124,0.0037032219115644693,5.590000129451766e-10,0.00079124287029308,0,20,-0.9421578876005414,0.014243296347558498,-0.972356915473938,0.207421568514089,1,0,-0.943507192899089,0.013909263536334038,-0.9730674624443054,0.2075648245193153,1,0,1,2,0.3978362051613031
US_DG08||Growth,US_DG08,Growth,6.563072465360165,0.5114480257034302,0.09056633710861206,0.13731286188710187,3,20,1.1838671900331974,0.09366518259048462,0.013566035777330399,0.02644457910476774,2,20,-2.0190528036036994,0.03709876537322998,-0.9571607708930969,0.2539287674957182,10,0,-3.1403357880190015,-0.007583094760775566,-1.0480329990386963,0.2717596069004099,14,0,1,2,0.3978362051613031
US_DG08||Inertial_Taylor,US_DG08,Inertial_Taylor,2.9664129354059696,0.33280837535858154,0.0303664393723011,0.10089513516441762,2,20,0.10834182785765734,0.018116842955350876,-0.005348333157598972,0.00795219274993435,1,20,-2.3962264582514763,0.04169167950749397,-0.9736786484718323,0.2695318585495476,12,0,-2.483835969120264,0.041831400245428085,-0.9917954802513123,0.2760328763789746,12,0,1,2,0.3978362051613031
US_DG08||Taylor,US_DG08,Taylor,0.5518440390005708,0.033888742327690125,0.009223115630447865,0.007041741774865836,9,0,0.008506761041644495,0.001384753966704011,-0.001151561038568616,0.0008341355405653211,2,20,-0.708977653644979,0.018461549654603004,-0.9949873685836792,0.21496380595018633,8,0,-0.7151032499969006,0.017784494906663895,-0.9963207840919495,0.21519481850578223,9,0,1,2,0.3978362051613031
US_DNGS15||Growth,US_DNGS15,Growth,8.758594065904617,0.6963752508163452,0.1299930214881897,0.17834235539119928,1,20,0.5122040654532611,0.03926079720258713,0.006392850074917078,0.01075185445912297,2,20,-2.8045389354228973,-0.03031294047832489,-0.9220849871635437,0.22147802992162197,12,0,-3.2899540811777115,-0.041944608092308044,-0.9605733752250671,0.22842010378914393,20,0,1,2,0.3978362051613031
US_DNGS15||Inertial_Taylor,US_DNGS15,Inertial_Taylor,2.8368929140269756,0.4508586823940277,0.007849575951695442,0.14414596189785953,1,20,-0.01944477399229072,0.0025761909782886505,-0.0036065869498997927,0.002065763307985012,1,20,-2.613027685554698,0.01517954096198082,-0.9471256136894226,0.2516398860113596,12,0,-2.5875541362911463,0.017475467175245285,-0.9497017860412598,0.2532997092810809,13,0,1,2,0.3978362051613031
US_DNGS15||Taylor,US_DNGS15,Taylor,0.42954645678400993,0.1171785369515419,0.008354977704584599,0.022293926470423813,0,20,-0.020004733960377052,-0.0004532650054898113,-0.0012838710099458694,0.00022849521966378675,0,20,-0.8123818680178374,0.017453152686357498,-0.9415807127952576,0.20191643788440988,1,0,-0.7915243390016258,0.01812444068491459,-0.9409739971160889,0.2020005975306302,1,0,1,2,0.3978362051613031
US_FGKR15||Growth,US_FGKR15,Growth,3.172317915596068,0.6852604150772095,-0.05251629650592804,0.25060839061138523,1,16,2.221442764159292,0.4750966727733612,0.002964409999549389,0.13389720771255884,0,18,-0.7929960298351943,0.13156479597091675,-0.8882219195365906,0.2301418712061179,5,0,-2.5437485352158546,0.016052283346652985,-1.2673686742782593,0.31912841625384003,6,0,1,2,0.3978362051613031
US_FGKR15||Inertial_Taylor,US_FGKR15,Inertial_Taylor,1.9614167227991857,0.5641794800758362,-0.04420875385403633,0.19696943909000764,1,10,1.3136457744985819,0.29925400018692017,0.02426234632730484,0.07097224907037966,0,10,-1.236452990444377,0.06727134436368942,-0.9148051738739014,0.24081719423405046,7,0,-2.287991752848029,0.04109882563352585,-1.1302745342254639,0.2879684418958584,7,0,1,2,0.3978362051613031
US_FGKR15||Taylor,US_FGKR15,Taylor,0.26491404553235043,0.09008272737264633,-0.00022129299759399146,0.02060758772946822,0,20,0.03046392073156312,0.025860099121928215,-0.00283872801810503,0.006147794535346636,0,6,-0.834992896503536,0.0348237045109272,-0.9452611207962036,0.20267428736868986,1,0,-0.8469189859461039,0.03585993871092796,-0.9455034136772156,0.202629169007796,1,0,1,2,0.3978362051613031
US_FM95||Growth,US_FM95,Growth,1.607873709872365,0.1255902647972107,8.900000169927548e-18,0.03809050673102598,7,0,1.2223100243136287,0.07585611194372177,0.010079228319227695,0.018780793339487508,11,0,-2.464048597961664,0.08367793262004852,-0.9990550875663757,0.29936689584771403,17,0,-3.7255242839455605,0.029981616884469986,-1.0181101560592651,0.2860147872685845,20,0,1,2,0.3978362051613031
US_FM95||Inertial_Taylor,US_FM95,Inertial_Taylor,1.1791177150444128,0.10743660479784012,-0.00043239298975095153,0.03709845068697473,6,20,0.8146367291919887,0.051261596381664276,0.007564723026007414,0.012101556658684676,10,0,-2.467323894612491,0.08580802381038666,-0.9992908239364624,0.3010369088013011,15,0,-3.3023198563605547,0.04537461698055267,-1.0135661363601685,0.2939058266577914,17,0,1,2,0.3978362051613031
US_FM95||Taylor,US_FM95,Taylor,0.09774355179979466,0.011130844242870808,-0.000112674999400042,0.0038638611544775355,3,20,0.06135122722480446,0.00371375004760921,0.0006903749890625477,0.0008014380807297942,9,0,-0.8647269990760833,0.008794820867478848,-0.9997411370277405,0.21434716584565802,6,0,-0.9276069162879139,0.005356736481189728,-1.001024603843689,0.21396206421936634,5,0,1,2,0.3978362051613031
US_FMS134||Growth,US_FMS134,Growth,4.712576694786549,0.34589672088623047,0.10541822016239166,0.0778753936686977,3,20,0.26457959366962314,0.046201836317777634,-0.011254235170781612,0.019311015914685866,1,20,-3.2373205944895744,-0.026563577353954315,-0.9751517176628113,0.24764533309949438,13,0,-3.4460081458091736,-0.020879967138171196,-1.0213536024093628,0.2630620421456051,17,0,1,2,0.3978362051613031
US_FMS134||Inertial_Taylor,US_FMS134,Inertial_Taylor,1.6862734961905517,0.2210117131471634,0.0009061180171556771,0.07560702069571079,2,20,-0.06438472610898316,0.01079472154378891,-0.007953573949635029,0.005963145369010918,0,11,-3.2229972414206713,-0.0035558189265429974,-0.9835017323493958,0.2625200684753828,14,0,-3.1437319454271346,0.003659903071820736,-0.9936649799346924,0.26746026882024315,13,0,1,2,0.3978362051613031
US_FMS134||Taylor,US_FMS134,Taylor,0.07722554628026046,0.019150594249367714,-5.18000015290454e-05,0.005449902416862536,0,20,-0.004813055926206289,0.0004574730119202286,-0.00039958598790690303,0.00021377962681242273,0,8,-0.9681611506966874,0.008504836820065975,-0.9902531504631042,0.21113148390207243,1,0,-0.962726138313883,0.008497687056660652,-0.9904941916465759,0.2112426689078869,1,0,1,2,0.3978362051613031
US_FRB03||Growth,US_FRB03,Growth,11.085137681104243,1.2718861103057861,-0.12574699521064758,0.4681866792035039,4,20,3.3808471310767345,0.325330913066864,0.00039173400728031993,0.10943142980982956,5,0,-0.9321400197222829,0.3088839054107666,-1.009499430656433,0.3187446176052322,7,0,-4.338175177574158,0.045765817165374756,-1.1670989990234375,0.3214525528472129,7,0,0,2,0.3978362051613031
US_FRB03||Inertial_Taylor,US_FRB03,Inertial_Taylor,4.342894427711144,0.5227521657943726,-0.039764925837516785,0.18963726705666512,4,20,1.7615283006889513,0.13691124320030212,0.0002039359969785437,0.03552244587346501,5,0,-1.4419197775423527,0.15084193646907806,-1.0108853578567505,0.31383983760015366,10,0,-3.252095352858305,0.07025305181741714,-1.07621431350708,0.32243937260521227,11,0,1,2,0.3978362051613031
US_FRB03||Taylor,US_FRB03,Taylor,0.4233923974679783,0.04976615682244301,-0.0036077070981264114,0.01759981838950025,4,20,0.13204918012343114,0.01193788181990385,3.5434401070233434e-05,0.003873235867713822,5,0,-0.7381437685107812,0.030356135219335556,-1.011343002319336,0.21856270219040203,6,0,-0.8709010101156309,0.01941104605793953,-1.017115831375122,0.2183053955737737,6,0,1,2,0.3978362051613031
US_FU19||Growth,US_FU19,Growth,7.0534394681453705,0.5289368629455566,0.14890098571777344,0.12078001645035719,2,20,0.8124849402229302,0.07585417479276657,0.00038416701136156917,0.02503729413509303,2,20,-2.3954489775933325,0.00871591828763485,-0.9500736594200134,0.2438163483054744,11,0,-3.144622185267508,-0.011165288276970387,-1.025099754333496,0.26174722149418184,16,0,1,2,0.3978362051613031
US_FU19||Inertial_Taylor,US_FU19,Inertial_Taylor,2.1464500937145203,0.34077322483062744,-0.003384128911420703,0.11903313569126842,1,20,0.032098069656058215,0.012518697418272495,-0.0034913390409201384,0.005530247277264005,1,18,-2.858431812375784,0.005219780839979649,-0.9662841558456421,0.256249101214502,12,0,-2.8762714094482362,0.007918430492281914,-0.9788028597831726,0.2610485270701147,12,0,1,2,0.3978362051613031
US_FU19||Taylor,US_FU19,Taylor,0.1632467319971056,0.07059920579195023,-0.00010366900096414611,0.01670958237075821,0,20,0.0012819110390864807,0.0006933070253580809,-0.00014078100502956659,0.0002565139241238565,0,19,-0.9161381727280968,0.019646843895316124,-0.9644404053688049,0.20595517656175247,1,0,-0.9165887622730224,0.019174911081790924,-0.9650744795799255,0.20608850943952126,1,0,1,2,0.3978362051613031
US_FV15||Growth,US_FV15,Growth,1.2449140672106296,0.12874194979667664,0.002786915982142091,0.043735386702322715,3,20,0.87160579347983,0.08871472626924515,0.0039689671248197556,0.029497294076568537,3,20,-2.7217793026939034,0.028751222416758537,-0.9870613217353821,0.27319663651044584,12,0,-3.5495728934183717,0.012491217814385891,-1.0604019165039062,0.29603545506201295,15,0,1,2,0.3978362051613031
US_FV15||Inertial_Taylor,US_FV15,Inertial_Taylor,0.8241186162922531,0.10505051910877228,-0.005286530125886202,0.03971583152475919,3,20,0.5365815344266593,0.0572957806289196,0.00532991299405694,0.018637149375118997,3,20,-2.830536877270788,0.029880303889513016,-0.9895150661468506,0.2763102634883829,12,0,-3.3407196826301515,0.019974689930677414,-1.0385409593582153,0.29180086359380675,13,0,1,2,0.3978362051613031
US_FV15||Taylor,US_FV15,Taylor,0.03112732550016517,0.007047581020742655,-0.0001705089962342754,0.002047802364060256,0,20,0.017946601990843192,0.001854583970271051,0.00027449699700810015,0.0005427582897127135,2,20,-0.9581528332200833,0.00427086278796196,-0.9960070252418518,0.21251604278198766,3,0,-0.9751128209754825,0.002671410795301199,-0.9977511167526245,0.212722851103944,3,0,1,2,0.3978362051613031
US_HL16||Growth,US_HL16,Growth,0.384937506634742,0.06976928561925888,0.0018372529884800315,0.02181303642719663,1,20,0.8502172269945731,0.17796564102172852,0.0001697410043561831,0.05823252364143369,1,20,-2.7239086408517323,0.005808814894407988,-0.9785974025726318,0.2606682711430848,11,0,-3.4193187679629773,0.004168930929154158,-1.1565630435943604,0.31266360675241506,12,0,1,2,0.3978362051613031
US_HL16||Inertial_Taylor,US_HL16,Inertial_Taylor,0.3576296642422676,0.06700573861598969,0.0016661989502608776,0.02097823239499844,1,20,0.7029997042409377,0.16159218549728394,-0.0012165539665147662,0.053230330776398764,1,15,-2.764124538287433,0.0060011171735823154,-0.9799851179122925,0.2620851377204872,11,0,-3.3231157630798407,0.006639378145337105,-1.1415772438049316,0.3093359367565782,11,0,1,2,0.3978362051613031
US_HL16||Taylor,US_HL16,Taylor,0.03665424834616715,0.012750118039548397,0.00010847100202227011,0.0033424211291224575,0,20,0.03286614811486288,0.016684452071785927,-5.4799998906673864e-05,0.0038759222639135633,0,20,-0.9322533675106115,0.014607462100684643,-0.9873682856559753,0.21090551680846498,1,0,-0.948379187793762,0.011743507348001003,-0.9956969618797302,0.21258093969867087,3,0,1,2,0.3978362051613031
US_IAC05||Growth,US_IAC05,Growth,5.370681449770927,1.3325769901275635,0.05615631863474846,0.31491980018795485,0,20,2.9553553108125925,1.0368183851242065,0.0045981938019394875,0.23738657067829472,0,20,0.4982236148789525,0.273460328578949,-0.7362261414527893,0.19880971689479546,3,0,-1.4238818874582648,0.09116281569004059,-1.2658576965332031,0.305871276003346,3,0,0,2,0.3978362051613031
